[Current] PAYMENT - Takes(s): 9.9, Count: 346, TPM: 2087.4, Sum(ms): 33537.1, Avg(ms): 97.0, 50th(ms): 75.5, 90th(ms): 184.5, 95th(ms): 209.7, 99th(ms): 302.0, 99.9th(ms): 369.1, Max(ms): 369.1
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 46, TPM: 280.0, Sum(ms): 5705.0, Avg(ms): 124.0, 50th(ms): 125.8, 90th(ms): 151.0, 95th(ms): 159.4, 99th(ms): 192.9, 99.9th(ms): 192.9, Max(ms): 192.9
[Current] DELIVERY - Takes(s): 9.8, Count: 37, TPM: 227.6, Sum(ms): 13933.2, Avg(ms): 376.4, 50th(ms): 369.1, 90th(ms): 503.3, 95th(ms): 570.4, 99th(ms): 637.5, 99.9th(ms): 637.5, Max(ms): 637.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 432, TPM: 2595.4, Sum(ms): 47847.7, Avg(ms): 110.8, 50th(ms): 104.9, 90th(ms): 151.0, 95th(ms): 184.5, 99th(ms): 234.9, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] ORDER_STATUS - Takes(s): 8.9, Count: 27, TPM: 182.5, Sum(ms): 3260.8, Avg(ms): 120.8, 50th(ms): 113.2, 90th(ms): 234.9, 95th(ms): 243.3, 99th(ms): 251.7, 99.9th(ms): 251.7, Max(ms): 251.7
[Current] PAYMENT - Takes(s): 9.9, Count: 335, TPM: 2021.1, Sum(ms): 30702.8, Avg(ms): 91.7, 50th(ms): 71.3, 90th(ms): 176.2, 95th(ms): 209.7, 99th(ms): 260.0, 99.9th(ms): 369.1, Max(ms): 369.1
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 29, TPM: 177.7, Sum(ms): 3563.8, Avg(ms): 122.9, 50th(ms): 117.4, 90th(ms): 159.4, 95th(ms): 201.3, 99th(ms): 218.1, 99.9th(ms): 218.1, Max(ms): 218.1
[Current] DELIVERY - Takes(s): 9.9, Count: 27, TPM: 163.8, Sum(ms): 10088.6, Avg(ms): 374.1, 50th(ms): 352.3, 90th(ms): 402.7, 95th(ms): 570.4, 99th(ms): 704.6, 99.9th(ms): 704.6, Max(ms): 704.6
[Current] NEW_ORDER - Takes(s): 10.0, Count: 387, TPM: 2323.9, Sum(ms): 43924.1, Avg(ms): 113.5, 50th(ms): 104.9, 90th(ms): 176.2, 95th(ms): 209.7, 99th(ms): 285.2, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] ORDER_STATUS - Takes(s): 9.2, Count: 31, TPM: 202.4, Sum(ms): 3320.9, Avg(ms): 107.0, 50th(ms): 62.9, 90th(ms): 218.1, 95th(ms): 226.5, 99th(ms): 234.9, 99.9th(ms): 234.9, Max(ms): 234.9
[Current] PAYMENT - Takes(s): 10.0, Count: 384, TPM: 2312.8, Sum(ms): 37256.0, Avg(ms): 97.1, 50th(ms): 75.5, 90th(ms): 184.5, 95th(ms): 226.5, 99th(ms): 318.8, 99.9th(ms): 369.1, Max(ms): 369.1
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 40, TPM: 242.1, Sum(ms): 4888.9, Avg(ms): 122.4, 50th(ms): 121.6, 90th(ms): 142.6, 95th(ms): 151.0, 99th(ms): 159.4, 99.9th(ms): 159.4, Max(ms): 159.4
[Current] DELIVERY - Takes(s): 9.8, Count: 38, TPM: 233.4, Sum(ms): 15429.6, Avg(ms): 405.7, 50th(ms): 352.3, 90th(ms): 671.1, 95th(ms): 704.6, 99th(ms): 838.9, 99.9th(ms): 838.9, Max(ms): 838.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 364, TPM: 2190.0, Sum(ms): 40937.1, Avg(ms): 112.4, 50th(ms): 104.9, 90th(ms): 167.8, 95th(ms): 184.5, 99th(ms): 285.2, 99.9th(ms): 369.1, Max(ms): 369.1
[Current] ORDER_STATUS - Takes(s): 9.4, Count: 42, TPM: 267.8, Sum(ms): 4526.5, Avg(ms): 107.7, 50th(ms): 67.1, 90th(ms): 234.9, 95th(ms): 243.3, 99th(ms): 285.2, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] PAYMENT - Takes(s): 10.0, Count: 399, TPM: 2398.0, Sum(ms): 35164.2, Avg(ms): 88.2, 50th(ms): 75.5, 90th(ms): 159.4, 95th(ms): 176.2, 99th(ms): 226.5, 99.9th(ms): 260.0, Max(ms): 260.0
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 31, TPM: 190.4, Sum(ms): 3736.8, Avg(ms): 120.3, 50th(ms): 121.6, 90th(ms): 142.6, 95th(ms): 142.6, 99th(ms): 151.0, 99.9th(ms): 151.0, Max(ms): 151.0
[Current] DELIVERY - Takes(s): 9.8, Count: 38, TPM: 232.6, Sum(ms): 16179.5, Avg(ms): 426.7, 50th(ms): 352.3, 90th(ms): 637.5, 95th(ms): 704.6, 99th(ms): 872.4, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 382, TPM: 2294.3, Sum(ms): 42643.3, Avg(ms): 111.7, 50th(ms): 104.9, 90th(ms): 167.8, 95th(ms): 201.3, 99th(ms): 260.0, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] ORDER_STATUS - Takes(s): 9.5, Count: 39, TPM: 246.6, Sum(ms): 4079.0, Avg(ms): 104.8, 50th(ms): 79.7, 90th(ms): 226.5, 95th(ms): 226.5, 99th(ms): 251.7, 99.9th(ms): 251.7, Max(ms): 251.7
[Current] PAYMENT - Takes(s): 9.9, Count: 362, TPM: 2191.8, Sum(ms): 32234.0, Avg(ms): 89.0, 50th(ms): 71.3, 90th(ms): 159.4, 95th(ms): 201.3, 99th(ms): 251.7, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] STOCK_LEVEL - Takes(s): 9.1, Count: 35, TPM: 230.0, Sum(ms): 4333.2, Avg(ms): 123.9, 50th(ms): 125.8, 90th(ms): 142.6, 95th(ms): 151.0, 99th(ms): 159.4, 99.9th(ms): 159.4, Max(ms): 159.4
[Current] DELIVERY - Takes(s): 10.0, Count: 34, TPM: 204.7, Sum(ms): 13439.5, Avg(ms): 395.5, 50th(ms): 369.1, 90th(ms): 604.0, 95th(ms): 637.5, 99th(ms): 637.5, 99.9th(ms): 637.5, Max(ms): 637.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 390, TPM: 2346.2, Sum(ms): 43640.3, Avg(ms): 111.8, 50th(ms): 104.9, 90th(ms): 159.4, 95th(ms): 192.9, 99th(ms): 243.3, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] ORDER_STATUS - Takes(s): 9.4, Count: 25, TPM: 159.6, Sum(ms): 2907.2, Avg(ms): 115.9, 50th(ms): 100.7, 90th(ms): 226.5, 95th(ms): 243.3, 99th(ms): 302.0, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] PAYMENT - Takes(s): 10.0, Count: 380, TPM: 2287.4, Sum(ms): 37341.8, Avg(ms): 98.3, 50th(ms): 79.7, 90th(ms): 184.5, 95th(ms): 209.7, 99th(ms): 285.2, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 16, TPM: 99.5, Sum(ms): 2296.8, Avg(ms): 143.3, 50th(ms): 142.6, 90th(ms): 167.8, 95th(ms): 167.8, 99th(ms): 226.5, 99.9th(ms): 226.5, Max(ms): 226.5
[Current] DELIVERY - Takes(s): 10.0, Count: 32, TPM: 192.5, Sum(ms): 12875.7, Avg(ms): 402.7, 50th(ms): 369.1, 90th(ms): 486.5, 95th(ms): 486.5, 99th(ms): 1073.7, 99.9th(ms): 1073.7, Max(ms): 1073.7
