2024/04/28 10:24:01 maxprocs: Leaving GOMAXPROCS=64: CPU quota undefined
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 61, TPM: 367.1, Sum(ms): 18582.7, Avg(ms): 305.3, 50th(ms): 268.4, 90th(ms): 570.4, 95th(ms): 637.5, 99th(ms): 637.5, 99.9th(ms): 637.5, Max(ms): 637.5
[Current] PAYMENT - Takes(s): 10.0, Count: 677, TPM: 4079.2, Sum(ms): 239294.4, Avg(ms): 353.7, 50th(ms): 335.5, 90th(ms): 453.0, 95th(ms): 604.0, 99th(ms): 906.0, 99.9th(ms): 1342.2, Max(ms): 1409.3
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 63, TPM: 380.9, Sum(ms): 16836.5, Avg(ms): 267.0, 50th(ms): 285.2, 90th(ms): 335.5, 95th(ms): 352.3, 99th(ms): 369.1, 99.9th(ms): 469.8, Max(ms): 469.8
[Current] DELIVERY - Takes(s): 9.9, Count: 73, TPM: 440.9, Sum(ms): 71146.6, Avg(ms): 974.9, 50th(ms): 973.1, 90th(ms): 1140.9, 95th(ms): 1208.0, 99th(ms): 1342.2, 99.9th(ms): 1409.3, Max(ms): 1409.3
[Current] NEW_ORDER - Takes(s): 9.9, Count: 731, TPM: 4413.7, Sum(ms): 294787.0, Avg(ms): 403.3, 50th(ms): 402.7, 90th(ms): 503.3, 95th(ms): 604.0, 99th(ms): 838.9, 99.9th(ms): 973.1, Max(ms): 1543.5
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 76, TPM: 462.1, Sum(ms): 24749.3, Avg(ms): 326.1, 50th(ms): 302.0, 90th(ms): 570.4, 95th(ms): 637.5, 99th(ms): 637.5, 99.9th(ms): 704.6, Max(ms): 704.6
[Current] PAYMENT - Takes(s): 9.9, Count: 696, TPM: 4204.1, Sum(ms): 239802.6, Avg(ms): 344.6, 50th(ms): 335.5, 90th(ms): 419.4, 95th(ms): 503.3, 99th(ms): 872.4, 99.9th(ms): 1208.0, Max(ms): 1275.1
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 48, TPM: 288.1, Sum(ms): 12492.2, Avg(ms): 261.2, 50th(ms): 268.4, 90th(ms): 318.8, 95th(ms): 335.5, 99th(ms): 352.3, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] DELIVERY - Takes(s): 9.5, Count: 64, TPM: 406.2, Sum(ms): 61827.6, Avg(ms): 964.2, 50th(ms): 973.1, 90th(ms): 1140.9, 95th(ms): 1140.9, 99th(ms): 1342.2, 99.9th(ms): 2080.4, Max(ms): 2080.4
[Current] NEW_ORDER - Takes(s): 9.9, Count: 730, TPM: 4419.4, Sum(ms): 301607.8, Avg(ms): 413.1, 50th(ms): 402.7, 90th(ms): 536.9, 95th(ms): 604.0, 99th(ms): 939.5, 99.9th(ms): 1006.6, Max(ms): 1275.1
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 64, TPM: 386.8, Sum(ms): 16860.0, Avg(ms): 264.1, 50th(ms): 234.9, 90th(ms): 503.3, 95th(ms): 570.4, 99th(ms): 604.0, 99.9th(ms): 604.0, Max(ms): 604.0
